"dwaid","dwatitle","adoption_rate","number_observations","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I05.D03","Document events or evidence, using photographic or audiovisual equipment.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I02.D07","Document information related to legal proceedings.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I14.D08","Document legal or regulatory information.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I12.D01","Document lesson plans.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I09.D03","Document network-related activities or tasks.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I08.D02","Document operational procedures.","","14","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I09.D02","Document technical design details.","","19","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.6.I08.D17","Document work hours or activities.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I41.D08","Draw guide lines or markings on materials or workpieces using patterns or other references.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I30.D02","Drill holes in construction materials.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I30.D01","Drill holes in earth or rock.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I30.D03","Drill holes in parts, equipment, or materials.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.4.I01.D10","Drive trucks or truck-mounted equipment.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.4.I01.D09","Drive vehicles to transport patrons.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I11.D01","Edit audio or video recordings.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I26.D01","Embalm corpses.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.5.I02.D01","Encourage patients during therapeutic activities.","","10","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.b.5.I02.D06","Encourage patients or clients to develop life skills.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I25.D01","Engrave designs, text, or other markings onto materials, workpieces, or products.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.1.I06.D10","Enter codes or other information into computers.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.b.1.I01.D01","Enter commands, instructions, or specifications into equipment.","","11","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.8.I01.D05","Entertain public with comedic or dramatic performances.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.1.I12.D05","Escort prisoners to courtrooms, prisons, or other facilities.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.4.I01.D05","Establish business management methods.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.4.I01.D03","Establish organizational guidelines or policies.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.4.I03.D07","Establish standards for medical care.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.4.I03.D17","Establish standards for products, processes, or procedures.","","18","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.2.I15.D01","Establish work standards.","","14","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.3.I02.D02","Estimate construction project costs.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.3.I02.D06","Estimate costs for projects or productions.","","19","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I01.D01","Estimate costs of products, services, or materials.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I01.D03","Estimate costs or terms of sales.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I02.D01","Estimate demand for products or services.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I08.D03","Estimate labor requirements.","","10","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.3.I02.D03","Estimate maintenance service requirements or costs.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I08.D09","Estimate material requirements for production.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.3.I02.D04","Estimate operational costs.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.b.1.I08.D01","Estimate technical or resource requirements for development or production projects.","","10","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I09.D04","Evaluate applicable laws and regulations to determine impact on organizational activities.","","16","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I04.D05","Evaluate capabilities or training needs.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I10.D06","Evaluate characteristics of archival or historical objects.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I01.D03","Evaluate characteristics of individuals to determine needs or eligibility.","","19","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I02.D07","Evaluate civic projects or public policies.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I09.D01","Evaluate condition of properties.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I11.D09","Evaluate construction projects to determine compliance with external standards or regulations.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I05.D03","Evaluate designs or specifications to ensure quality.","","19","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I02.D05","Evaluate effectiveness of educational programs.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I02.D04","Evaluate effectiveness of personnel policies or practices.","","12","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I05.D01","Evaluate log quality.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I06.D02","Evaluate patient functioning, capabilities, or health.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I06.D03","Evaluate patient outcomes to determine effectiveness of treatments.","","14","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I04.D01","Evaluate performance of educational staff.","","8","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.2.I11.D07","Evaluate personnel practices to ensure adherence to regulations.","","10","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I05.D04","Evaluate quality of food ingredients or prepared foods.","","12","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I05.D02","Evaluate quality of plants or crops.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I02.D12","Evaluate reports or designs to determine work needs.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.4.I05.D01","Evaluate technical data to determine effect on designs or plans.","","9","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.1.I02.D02","Evaluate the effectiveness of counseling or educational programs.","","5","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I16.D06","Examine characteristics or behavior of living organisms.","","3","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I03.D02","Examine crime scenes to obtain evidence.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I21.D02","Examine debris to obtain information about causes of fires.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.3.I03.D03","Examine financial records or processes.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.3.I03.D05","Examine financial records to ensure compliance with policies or regulations.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.3.I01.D01","Examine marketing materials to ensure compliance with policies or regulations.","","6","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.b.2.I07.D21","Examine medical instruments or equipment to ensure proper operation.","","1","","","","","","","","","","","","","","","","","","","","","",""
"4.A.2.a.2.I05.D01","Examine personal documentation to ensure that it is valid.","","4","","","","","","","","","","","","","","","","","","","","","",""
"4.A.1.a.1.I03.D05","Examine records or other types of data to investigate criminal activities.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.1.I05.D05","Explain medical procedures or test results to patients or family members.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.3.I02.D06","Explain project details to the general public.","","2","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.1.I01.D02","Explain use of products or services.","","16","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I27.D02","Fabricate parts or components.","","13","","","","","","","","","","","","","","","","","","","","","",""
"4.A.3.a.2.I39.D03","Fill cracks, imperfections, or holes in products or workpieces.","","7","","","","","","","","","","","","","","","","","","","","","",""
"4.A.4.a.5.I06.D01","Fit eyeglasses, contact lenses, or other vision aids.","","2","","","","","","","","","","","","","","","","","","","","","",""
